"fid","new_commun","old_commun","date"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-02"
9,"ANALAMPASINA","ANALAMPASINA","2000-02"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-02"
7,"AMBIABE","ANDRORANGAVOLA","2000-02"
14,"ANTARETRA","ANTARETRA","2000-02"
15,"ANTSINDRA","ANTSINDRA","2000-02"
5,"AMPASINAMBO","FASINTSARA","2000-02"
11,"FASINTSARA","FASINTSARA","2000-02"
8,"IFANADIANA","IFANADIANA","2000-02"
3,"KELILALINA","KELILALINA","2000-02"
12,"MAROHARATRA","MAROHARATRA","2000-02"
13,"MAROTOKO","MAROTOKO","2000-02"
1,"RANOMAFANA","RANOMAFANA","2000-02"
10,"TSARATANANA","TSARATANANA","2000-02"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-03"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-03"
9,"ANALAMPASINA","ANALAMPASINA","2000-03"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-03"
7,"AMBIABE","ANDRORANGAVOLA","2000-03"
14,"ANTARETRA","ANTARETRA","2000-03"
15,"ANTSINDRA","ANTSINDRA","2000-03"
5,"AMPASINAMBO","FASINTSARA","2000-03"
11,"FASINTSARA","FASINTSARA","2000-03"
8,"IFANADIANA","IFANADIANA","2000-03"
3,"KELILALINA","KELILALINA","2000-03"
12,"MAROHARATRA","MAROHARATRA","2000-03"
13,"MAROTOKO","MAROTOKO","2000-03"
1,"RANOMAFANA","RANOMAFANA","2000-03"
10,"TSARATANANA","TSARATANANA","2000-03"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-04"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-04"
9,"ANALAMPASINA","ANALAMPASINA","2000-04"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-04"
7,"AMBIABE","ANDRORANGAVOLA","2000-04"
14,"ANTARETRA","ANTARETRA","2000-04"
15,"ANTSINDRA","ANTSINDRA","2000-04"
5,"AMPASINAMBO","FASINTSARA","2000-04"
11,"FASINTSARA","FASINTSARA","2000-04"
8,"IFANADIANA","IFANADIANA","2000-04"
3,"KELILALINA","KELILALINA","2000-04"
12,"MAROHARATRA","MAROHARATRA","2000-04"
13,"MAROTOKO","MAROTOKO","2000-04"
1,"RANOMAFANA","RANOMAFANA","2000-04"
10,"TSARATANANA","TSARATANANA","2000-04"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-05"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-05"
9,"ANALAMPASINA","ANALAMPASINA","2000-05"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-05"
7,"AMBIABE","ANDRORANGAVOLA","2000-05"
14,"ANTARETRA","ANTARETRA","2000-05"
15,"ANTSINDRA","ANTSINDRA","2000-05"
5,"AMPASINAMBO","FASINTSARA","2000-05"
11,"FASINTSARA","FASINTSARA","2000-05"
8,"IFANADIANA","IFANADIANA","2000-05"
3,"KELILALINA","KELILALINA","2000-05"
12,"MAROHARATRA","MAROHARATRA","2000-05"
13,"MAROTOKO","MAROTOKO","2000-05"
1,"RANOMAFANA","RANOMAFANA","2000-05"
10,"TSARATANANA","TSARATANANA","2000-05"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-06"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-06"
9,"ANALAMPASINA","ANALAMPASINA","2000-06"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-06"
7,"AMBIABE","ANDRORANGAVOLA","2000-06"
14,"ANTARETRA","ANTARETRA","2000-06"
15,"ANTSINDRA","ANTSINDRA","2000-06"
5,"AMPASINAMBO","FASINTSARA","2000-06"
11,"FASINTSARA","FASINTSARA","2000-06"
8,"IFANADIANA","IFANADIANA","2000-06"
3,"KELILALINA","KELILALINA","2000-06"
12,"MAROHARATRA","MAROHARATRA","2000-06"
13,"MAROTOKO","MAROTOKO","2000-06"
1,"RANOMAFANA","RANOMAFANA","2000-06"
10,"TSARATANANA","TSARATANANA","2000-06"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-07"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-07"
9,"ANALAMPASINA","ANALAMPASINA","2000-07"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-07"
7,"AMBIABE","ANDRORANGAVOLA","2000-07"
14,"ANTARETRA","ANTARETRA","2000-07"
15,"ANTSINDRA","ANTSINDRA","2000-07"
5,"AMPASINAMBO","FASINTSARA","2000-07"
11,"FASINTSARA","FASINTSARA","2000-07"
8,"IFANADIANA","IFANADIANA","2000-07"
3,"KELILALINA","KELILALINA","2000-07"
12,"MAROHARATRA","MAROHARATRA","2000-07"
13,"MAROTOKO","MAROTOKO","2000-07"
1,"RANOMAFANA","RANOMAFANA","2000-07"
10,"TSARATANANA","TSARATANANA","2000-07"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-08"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-08"
9,"ANALAMPASINA","ANALAMPASINA","2000-08"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-08"
7,"AMBIABE","ANDRORANGAVOLA","2000-08"
14,"ANTARETRA","ANTARETRA","2000-08"
15,"ANTSINDRA","ANTSINDRA","2000-08"
5,"AMPASINAMBO","FASINTSARA","2000-08"
11,"FASINTSARA","FASINTSARA","2000-08"
8,"IFANADIANA","IFANADIANA","2000-08"
3,"KELILALINA","KELILALINA","2000-08"
12,"MAROHARATRA","MAROHARATRA","2000-08"
13,"MAROTOKO","MAROTOKO","2000-08"
1,"RANOMAFANA","RANOMAFANA","2000-08"
10,"TSARATANANA","TSARATANANA","2000-08"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-09"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-09"
9,"ANALAMPASINA","ANALAMPASINA","2000-09"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-09"
7,"AMBIABE","ANDRORANGAVOLA","2000-09"
14,"ANTARETRA","ANTARETRA","2000-09"
15,"ANTSINDRA","ANTSINDRA","2000-09"
5,"AMPASINAMBO","FASINTSARA","2000-09"
11,"FASINTSARA","FASINTSARA","2000-09"
8,"IFANADIANA","IFANADIANA","2000-09"
3,"KELILALINA","KELILALINA","2000-09"
12,"MAROHARATRA","MAROHARATRA","2000-09"
13,"MAROTOKO","MAROTOKO","2000-09"
1,"RANOMAFANA","RANOMAFANA","2000-09"
10,"TSARATANANA","TSARATANANA","2000-09"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-10"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-10"
9,"ANALAMPASINA","ANALAMPASINA","2000-10"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-10"
7,"AMBIABE","ANDRORANGAVOLA","2000-10"
14,"ANTARETRA","ANTARETRA","2000-10"
15,"ANTSINDRA","ANTSINDRA","2000-10"
5,"AMPASINAMBO","FASINTSARA","2000-10"
11,"FASINTSARA","FASINTSARA","2000-10"
8,"IFANADIANA","IFANADIANA","2000-10"
3,"KELILALINA","KELILALINA","2000-10"
12,"MAROHARATRA","MAROHARATRA","2000-10"
13,"MAROTOKO","MAROTOKO","2000-10"
1,"RANOMAFANA","RANOMAFANA","2000-10"
10,"TSARATANANA","TSARATANANA","2000-10"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-11"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-11"
9,"ANALAMPASINA","ANALAMPASINA","2000-11"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-11"
7,"AMBIABE","ANDRORANGAVOLA","2000-11"
14,"ANTARETRA","ANTARETRA","2000-11"
15,"ANTSINDRA","ANTSINDRA","2000-11"
5,"AMPASINAMBO","FASINTSARA","2000-11"
11,"FASINTSARA","FASINTSARA","2000-11"
8,"IFANADIANA","IFANADIANA","2000-11"
3,"KELILALINA","KELILALINA","2000-11"
12,"MAROHARATRA","MAROHARATRA","2000-11"
13,"MAROTOKO","MAROTOKO","2000-11"
1,"RANOMAFANA","RANOMAFANA","2000-11"
10,"TSARATANANA","TSARATANANA","2000-11"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-12"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-12"
9,"ANALAMPASINA","ANALAMPASINA","2000-12"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-12"
7,"AMBIABE","ANDRORANGAVOLA","2000-12"
14,"ANTARETRA","ANTARETRA","2000-12"
15,"ANTSINDRA","ANTSINDRA","2000-12"
5,"AMPASINAMBO","FASINTSARA","2000-12"
11,"FASINTSARA","FASINTSARA","2000-12"
8,"IFANADIANA","IFANADIANA","2000-12"
3,"KELILALINA","KELILALINA","2000-12"
12,"MAROHARATRA","MAROHARATRA","2000-12"
13,"MAROTOKO","MAROTOKO","2000-12"
1,"RANOMAFANA","RANOMAFANA","2000-12"
10,"TSARATANANA","TSARATANANA","2000-12"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-01"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-01"
9,"ANALAMPASINA","ANALAMPASINA","2001-01"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-01"
7,"AMBIABE","ANDRORANGAVOLA","2001-01"
14,"ANTARETRA","ANTARETRA","2001-01"
15,"ANTSINDRA","ANTSINDRA","2001-01"
5,"AMPASINAMBO","FASINTSARA","2001-01"
11,"FASINTSARA","FASINTSARA","2001-01"
8,"IFANADIANA","IFANADIANA","2001-01"
3,"KELILALINA","KELILALINA","2001-01"
12,"MAROHARATRA","MAROHARATRA","2001-01"
13,"MAROTOKO","MAROTOKO","2001-01"
1,"RANOMAFANA","RANOMAFANA","2001-01"
10,"TSARATANANA","TSARATANANA","2001-01"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-02"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-02"
9,"ANALAMPASINA","ANALAMPASINA","2001-02"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-02"
7,"AMBIABE","ANDRORANGAVOLA","2001-02"
14,"ANTARETRA","ANTARETRA","2001-02"
15,"ANTSINDRA","ANTSINDRA","2001-02"
5,"AMPASINAMBO","FASINTSARA","2001-02"
11,"FASINTSARA","FASINTSARA","2001-02"
8,"IFANADIANA","IFANADIANA","2001-02"
3,"KELILALINA","KELILALINA","2001-02"
12,"MAROHARATRA","MAROHARATRA","2001-02"
13,"MAROTOKO","MAROTOKO","2001-02"
1,"RANOMAFANA","RANOMAFANA","2001-02"
10,"TSARATANANA","TSARATANANA","2001-02"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-03"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-03"
9,"ANALAMPASINA","ANALAMPASINA","2001-03"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-03"
7,"AMBIABE","ANDRORANGAVOLA","2001-03"
14,"ANTARETRA","ANTARETRA","2001-03"
15,"ANTSINDRA","ANTSINDRA","2001-03"
5,"AMPASINAMBO","FASINTSARA","2001-03"
11,"FASINTSARA","FASINTSARA","2001-03"
8,"IFANADIANA","IFANADIANA","2001-03"
3,"KELILALINA","KELILALINA","2001-03"
12,"MAROHARATRA","MAROHARATRA","2001-03"
13,"MAROTOKO","MAROTOKO","2001-03"
1,"RANOMAFANA","RANOMAFANA","2001-03"
10,"TSARATANANA","TSARATANANA","2001-03"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-04"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-04"
9,"ANALAMPASINA","ANALAMPASINA","2001-04"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-04"
7,"AMBIABE","ANDRORANGAVOLA","2001-04"
14,"ANTARETRA","ANTARETRA","2001-04"
15,"ANTSINDRA","ANTSINDRA","2001-04"
5,"AMPASINAMBO","FASINTSARA","2001-04"
11,"FASINTSARA","FASINTSARA","2001-04"
8,"IFANADIANA","IFANADIANA","2001-04"
3,"KELILALINA","KELILALINA","2001-04"
12,"MAROHARATRA","MAROHARATRA","2001-04"
13,"MAROTOKO","MAROTOKO","2001-04"
1,"RANOMAFANA","RANOMAFANA","2001-04"
10,"TSARATANANA","TSARATANANA","2001-04"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-05"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-05"
9,"ANALAMPASINA","ANALAMPASINA","2001-05"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-05"
7,"AMBIABE","ANDRORANGAVOLA","2001-05"
14,"ANTARETRA","ANTARETRA","2001-05"
15,"ANTSINDRA","ANTSINDRA","2001-05"
5,"AMPASINAMBO","FASINTSARA","2001-05"
11,"FASINTSARA","FASINTSARA","2001-05"
8,"IFANADIANA","IFANADIANA","2001-05"
3,"KELILALINA","KELILALINA","2001-05"
12,"MAROHARATRA","MAROHARATRA","2001-05"
13,"MAROTOKO","MAROTOKO","2001-05"
1,"RANOMAFANA","RANOMAFANA","2001-05"
10,"TSARATANANA","TSARATANANA","2001-05"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-06"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-06"
9,"ANALAMPASINA","ANALAMPASINA","2001-06"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-06"
7,"AMBIABE","ANDRORANGAVOLA","2001-06"
14,"ANTARETRA","ANTARETRA","2001-06"
15,"ANTSINDRA","ANTSINDRA","2001-06"
5,"AMPASINAMBO","FASINTSARA","2001-06"
11,"FASINTSARA","FASINTSARA","2001-06"
8,"IFANADIANA","IFANADIANA","2001-06"
3,"KELILALINA","KELILALINA","2001-06"
12,"MAROHARATRA","MAROHARATRA","2001-06"
13,"MAROTOKO","MAROTOKO","2001-06"
1,"RANOMAFANA","RANOMAFANA","2001-06"
10,"TSARATANANA","TSARATANANA","2001-06"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-07"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-07"
9,"ANALAMPASINA","ANALAMPASINA","2001-07"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-07"
7,"AMBIABE","ANDRORANGAVOLA","2001-07"
14,"ANTARETRA","ANTARETRA","2001-07"
15,"ANTSINDRA","ANTSINDRA","2001-07"
5,"AMPASINAMBO","FASINTSARA","2001-07"
11,"FASINTSARA","FASINTSARA","2001-07"
8,"IFANADIANA","IFANADIANA","2001-07"
3,"KELILALINA","KELILALINA","2001-07"
12,"MAROHARATRA","MAROHARATRA","2001-07"
13,"MAROTOKO","MAROTOKO","2001-07"
1,"RANOMAFANA","RANOMAFANA","2001-07"
10,"TSARATANANA","TSARATANANA","2001-07"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-08"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-08"
9,"ANALAMPASINA","ANALAMPASINA","2001-08"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-08"
7,"AMBIABE","ANDRORANGAVOLA","2001-08"
14,"ANTARETRA","ANTARETRA","2001-08"
15,"ANTSINDRA","ANTSINDRA","2001-08"
5,"AMPASINAMBO","FASINTSARA","2001-08"
11,"FASINTSARA","FASINTSARA","2001-08"
8,"IFANADIANA","IFANADIANA","2001-08"
3,"KELILALINA","KELILALINA","2001-08"
12,"MAROHARATRA","MAROHARATRA","2001-08"
13,"MAROTOKO","MAROTOKO","2001-08"
1,"RANOMAFANA","RANOMAFANA","2001-08"
10,"TSARATANANA","TSARATANANA","2001-08"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-09"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-09"
9,"ANALAMPASINA","ANALAMPASINA","2001-09"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-09"
7,"AMBIABE","ANDRORANGAVOLA","2001-09"
14,"ANTARETRA","ANTARETRA","2001-09"
15,"ANTSINDRA","ANTSINDRA","2001-09"
5,"AMPASINAMBO","FASINTSARA","2001-09"
11,"FASINTSARA","FASINTSARA","2001-09"
8,"IFANADIANA","IFANADIANA","2001-09"
3,"KELILALINA","KELILALINA","2001-09"
12,"MAROHARATRA","MAROHARATRA","2001-09"
13,"MAROTOKO","MAROTOKO","2001-09"
1,"RANOMAFANA","RANOMAFANA","2001-09"
10,"TSARATANANA","TSARATANANA","2001-09"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-10"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-10"
9,"ANALAMPASINA","ANALAMPASINA","2001-10"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-10"
7,"AMBIABE","ANDRORANGAVOLA","2001-10"
14,"ANTARETRA","ANTARETRA","2001-10"
15,"ANTSINDRA","ANTSINDRA","2001-10"
5,"AMPASINAMBO","FASINTSARA","2001-10"
11,"FASINTSARA","FASINTSARA","2001-10"
8,"IFANADIANA","IFANADIANA","2001-10"
3,"KELILALINA","KELILALINA","2001-10"
12,"MAROHARATRA","MAROHARATRA","2001-10"
13,"MAROTOKO","MAROTOKO","2001-10"
1,"RANOMAFANA","RANOMAFANA","2001-10"
10,"TSARATANANA","TSARATANANA","2001-10"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-11"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-11"
9,"ANALAMPASINA","ANALAMPASINA","2001-11"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-11"
7,"AMBIABE","ANDRORANGAVOLA","2001-11"
14,"ANTARETRA","ANTARETRA","2001-11"
15,"ANTSINDRA","ANTSINDRA","2001-11"
5,"AMPASINAMBO","FASINTSARA","2001-11"
11,"FASINTSARA","FASINTSARA","2001-11"
8,"IFANADIANA","IFANADIANA","2001-11"
3,"KELILALINA","KELILALINA","2001-11"
12,"MAROHARATRA","MAROHARATRA","2001-11"
13,"MAROTOKO","MAROTOKO","2001-11"
1,"RANOMAFANA","RANOMAFANA","2001-11"
10,"TSARATANANA","TSARATANANA","2001-11"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2001-12"
4,"AMBOHIMIERA","AMBOHIMIERA","2001-12"
9,"ANALAMPASINA","ANALAMPASINA","2001-12"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2001-12"
7,"AMBIABE","ANDRORANGAVOLA","2001-12"
14,"ANTARETRA","ANTARETRA","2001-12"
15,"ANTSINDRA","ANTSINDRA","2001-12"
5,"AMPASINAMBO","FASINTSARA","2001-12"
11,"FASINTSARA","FASINTSARA","2001-12"
8,"IFANADIANA","IFANADIANA","2001-12"
3,"KELILALINA","KELILALINA","2001-12"
12,"MAROHARATRA","MAROHARATRA","2001-12"
13,"MAROTOKO","MAROTOKO","2001-12"
1,"RANOMAFANA","RANOMAFANA","2001-12"
10,"TSARATANANA","TSARATANANA","2001-12"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-01"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-01"
9,"ANALAMPASINA","ANALAMPASINA","2002-01"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-01"
7,"AMBIABE","ANDRORANGAVOLA","2002-01"
14,"ANTARETRA","ANTARETRA","2002-01"
15,"ANTSINDRA","ANTSINDRA","2002-01"
5,"AMPASINAMBO","FASINTSARA","2002-01"
11,"FASINTSARA","FASINTSARA","2002-01"
8,"IFANADIANA","IFANADIANA","2002-01"
3,"KELILALINA","KELILALINA","2002-01"
12,"MAROHARATRA","MAROHARATRA","2002-01"
13,"MAROTOKO","MAROTOKO","2002-01"
1,"RANOMAFANA","RANOMAFANA","2002-01"
10,"TSARATANANA","TSARATANANA","2002-01"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-02"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-02"
9,"ANALAMPASINA","ANALAMPASINA","2002-02"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-02"
7,"AMBIABE","ANDRORANGAVOLA","2002-02"
14,"ANTARETRA","ANTARETRA","2002-02"
15,"ANTSINDRA","ANTSINDRA","2002-02"
5,"AMPASINAMBO","FASINTSARA","2002-02"
11,"FASINTSARA","FASINTSARA","2002-02"
8,"IFANADIANA","IFANADIANA","2002-02"
3,"KELILALINA","KELILALINA","2002-02"
12,"MAROHARATRA","MAROHARATRA","2002-02"
13,"MAROTOKO","MAROTOKO","2002-02"
1,"RANOMAFANA","RANOMAFANA","2002-02"
10,"TSARATANANA","TSARATANANA","2002-02"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-03"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-03"
9,"ANALAMPASINA","ANALAMPASINA","2002-03"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-03"
7,"AMBIABE","ANDRORANGAVOLA","2002-03"
14,"ANTARETRA","ANTARETRA","2002-03"
15,"ANTSINDRA","ANTSINDRA","2002-03"
5,"AMPASINAMBO","FASINTSARA","2002-03"
11,"FASINTSARA","FASINTSARA","2002-03"
8,"IFANADIANA","IFANADIANA","2002-03"
3,"KELILALINA","KELILALINA","2002-03"
12,"MAROHARATRA","MAROHARATRA","2002-03"
13,"MAROTOKO","MAROTOKO","2002-03"
1,"RANOMAFANA","RANOMAFANA","2002-03"
10,"TSARATANANA","TSARATANANA","2002-03"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-04"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-04"
9,"ANALAMPASINA","ANALAMPASINA","2002-04"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-04"
7,"AMBIABE","ANDRORANGAVOLA","2002-04"
14,"ANTARETRA","ANTARETRA","2002-04"
15,"ANTSINDRA","ANTSINDRA","2002-04"
5,"AMPASINAMBO","FASINTSARA","2002-04"
11,"FASINTSARA","FASINTSARA","2002-04"
8,"IFANADIANA","IFANADIANA","2002-04"
3,"KELILALINA","KELILALINA","2002-04"
12,"MAROHARATRA","MAROHARATRA","2002-04"
13,"MAROTOKO","MAROTOKO","2002-04"
1,"RANOMAFANA","RANOMAFANA","2002-04"
10,"TSARATANANA","TSARATANANA","2002-04"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-05"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-05"
9,"ANALAMPASINA","ANALAMPASINA","2002-05"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-05"
7,"AMBIABE","ANDRORANGAVOLA","2002-05"
14,"ANTARETRA","ANTARETRA","2002-05"
15,"ANTSINDRA","ANTSINDRA","2002-05"
5,"AMPASINAMBO","FASINTSARA","2002-05"
11,"FASINTSARA","FASINTSARA","2002-05"
8,"IFANADIANA","IFANADIANA","2002-05"
3,"KELILALINA","KELILALINA","2002-05"
12,"MAROHARATRA","MAROHARATRA","2002-05"
13,"MAROTOKO","MAROTOKO","2002-05"
1,"RANOMAFANA","RANOMAFANA","2002-05"
10,"TSARATANANA","TSARATANANA","2002-05"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-06"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-06"
9,"ANALAMPASINA","ANALAMPASINA","2002-06"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-06"
7,"AMBIABE","ANDRORANGAVOLA","2002-06"
14,"ANTARETRA","ANTARETRA","2002-06"
15,"ANTSINDRA","ANTSINDRA","2002-06"
5,"AMPASINAMBO","FASINTSARA","2002-06"
11,"FASINTSARA","FASINTSARA","2002-06"
8,"IFANADIANA","IFANADIANA","2002-06"
3,"KELILALINA","KELILALINA","2002-06"
12,"MAROHARATRA","MAROHARATRA","2002-06"
13,"MAROTOKO","MAROTOKO","2002-06"
1,"RANOMAFANA","RANOMAFANA","2002-06"
10,"TSARATANANA","TSARATANANA","2002-06"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-07"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-07"
9,"ANALAMPASINA","ANALAMPASINA","2002-07"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-07"
7,"AMBIABE","ANDRORANGAVOLA","2002-07"
14,"ANTARETRA","ANTARETRA","2002-07"
15,"ANTSINDRA","ANTSINDRA","2002-07"
5,"AMPASINAMBO","FASINTSARA","2002-07"
11,"FASINTSARA","FASINTSARA","2002-07"
8,"IFANADIANA","IFANADIANA","2002-07"
3,"KELILALINA","KELILALINA","2002-07"
12,"MAROHARATRA","MAROHARATRA","2002-07"
13,"MAROTOKO","MAROTOKO","2002-07"
1,"RANOMAFANA","RANOMAFANA","2002-07"
10,"TSARATANANA","TSARATANANA","2002-07"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-08"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-08"
9,"ANALAMPASINA","ANALAMPASINA","2002-08"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-08"
7,"AMBIABE","ANDRORANGAVOLA","2002-08"
14,"ANTARETRA","ANTARETRA","2002-08"
15,"ANTSINDRA","ANTSINDRA","2002-08"
5,"AMPASINAMBO","FASINTSARA","2002-08"
11,"FASINTSARA","FASINTSARA","2002-08"
8,"IFANADIANA","IFANADIANA","2002-08"
3,"KELILALINA","KELILALINA","2002-08"
12,"MAROHARATRA","MAROHARATRA","2002-08"
13,"MAROTOKO","MAROTOKO","2002-08"
1,"RANOMAFANA","RANOMAFANA","2002-08"
10,"TSARATANANA","TSARATANANA","2002-08"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-09"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-09"
9,"ANALAMPASINA","ANALAMPASINA","2002-09"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-09"
7,"AMBIABE","ANDRORANGAVOLA","2002-09"
14,"ANTARETRA","ANTARETRA","2002-09"
15,"ANTSINDRA","ANTSINDRA","2002-09"
5,"AMPASINAMBO","FASINTSARA","2002-09"
11,"FASINTSARA","FASINTSARA","2002-09"
8,"IFANADIANA","IFANADIANA","2002-09"
3,"KELILALINA","KELILALINA","2002-09"
12,"MAROHARATRA","MAROHARATRA","2002-09"
13,"MAROTOKO","MAROTOKO","2002-09"
1,"RANOMAFANA","RANOMAFANA","2002-09"
10,"TSARATANANA","TSARATANANA","2002-09"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-10"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-10"
9,"ANALAMPASINA","ANALAMPASINA","2002-10"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2002-10"
7,"AMBIABE","ANDRORANGAVOLA","2002-10"
14,"ANTARETRA","ANTARETRA","2002-10"
15,"ANTSINDRA","ANTSINDRA","2002-10"
5,"AMPASINAMBO","FASINTSARA","2002-10"
11,"FASINTSARA","FASINTSARA","2002-10"
8,"IFANADIANA","IFANADIANA","2002-10"
3,"KELILALINA","KELILALINA","2002-10"
12,"MAROHARATRA","MAROHARATRA","2002-10"
13,"MAROTOKO","MAROTOKO","2002-10"
1,"RANOMAFANA","RANOMAFANA","2002-10"
10,"TSARATANANA","TSARATANANA","2002-10"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2002-11"
4,"AMBOHIMIERA","AMBOHIMIERA","2002-11"
